Component Name,Quantity,Price per Unit (INR),Total Price (INR),Total Price (USD),Comments,Source,Product Link
"TOYOTONE 3"" SubWoofer (4 Ohm)",1,349,349,4.18,good cheap speaker,Amazon.in,https://www.amazon.in/TOYOTONE-SubWoofer-Sensitivity-Loudspeaker-Multimedia/dp/B0DJ5LTYMV/
Resistor Box (150 Resistors and 30 Values),1,59,59,0.71,this the site has only 2 out of 4 resistors at total of 20 buying rest from another puts it at 2 dollars just for delivery this is cheaper,Robocraze,https://robocraze.com/products/resistor-box?variant=40192376864921
ESP32 (38 Pin) WiFi + Bluetooth NodeMCU-32 Development Board,1,359,359,4.3,,Robocraze,https://robocraze.com/products/esp32-development-board?variant=40193649803417
MT3608 DC-DC Boost Module (2V-24V),1,35,35,0.42,,Robocraze,https://robocraze.com/products/mt3608-dc-dc-boost-module-2v-24v?variant=40192693371033
18650 Single Battery Cell Case Holder,2,18,36,0.43,,Robocraze,https://robocraze.com/products/18650-1-cell-holder?variant=42934046851296
Wire (red) - 5 meters (speaker),1,34,34,0.41,speaker wire,Robocraze,https://robocraze.com/products/hook-up-wire-red-1-meter?variant=43816549253344
Wire (black) - 5 meters (speaker),1,41,41,0.49,speaker wire,Robocraze,https://robocraze.com/products/single-strand-wire?variant=40192581238937
Solder Wire-1 Meter (10gm),1,15,15,0.18,,Robocraze,https://robocraze.com/products/soldering-wire10gm?variant=40192347046041
40x1 Female Berg Strip,3,9,27,0.32,,Robocraze,https://robocraze.com/products/40x1-female-berg-strip?variant=40192367689881
40x1 Pin 2.54mm Pitch Male Berg Strip,3,7,21,0.25,,Robocraze,https://robocraze.com/products/40x1-pin-2-54mm-pitch-male-berg-strip?variant=43046522650848
100uF / 25V Electrolytic Capacitor (Pack of 5),1,22,22,0.26,,Robocraze,https://robocraze.com/products/100uf-25v-electrolytic-capacitor-pack-of-5?variant=43438816395488
Rotary Encoder Module,4,44,176,2.11,,Robocraze,https://robocraze.com/products/rotary-encoder-module?variant=40193048543385
3.7v 2500mah 18650 Li-Ion Battery,2,137,274,3.28,,Robocraze,https://robocraze.com/products/3-7v-2500mah-18650-li-ion-battery?variant=43194107920608
Slide Switch 3 Pin 2 Way SPDT,1,14,14,0.17,,Robocraze,https://robocraze.com/products/slide-switch-3-pin-2-way-spdt?variant=44698610237664
TP4056 Battery Charger C Type Module with Protection,1,14,14,0.17,,Robocraze,https://robocraze.com/products/tp4056-battery-charger-c-type-module-with-protection-1?variant=46170796261600
Mini DF MP3 Player Module MP3-TF-16P,1,100,100,1.3,,Robocraze,https://www.robocraze.com/products/mini-df-mp3-player-module-mp3-tf-16p
Hook up Wire Packet (1 meter each),1,49,49,0.59,General purpose wiring,Robocraze,https://robocraze.com/products/single-stranded-hook-up-wires-1m-each-5-colors?variant=40193905590425
Neopixel WS2812B Addressable RGB LED Strip - 5V - 60 LEDs per meter - Inbuilt chip - IP20 - Black PCB (1 meter strip),1,250,250,2.99,Price includes shipping from Hubtronics. Replaces previous Neopixel entry.,Hubtronics,https://hubtronics.in/neopixel-ws2811-led-strip-india
Custom PCBs (JLCPCB),1,1252.51,1252.51,15,jlc if coupon then this goes back to hc,JLCPCB,https://jlcpcb.com/
3D Printed Parts (printing legion),1,650,650,7.78,printing legion postage,Local 3D Printing Service,
GRANOTONE Acrylic Venezia Metallic Colour - Gold (100ml),1,195,195,2.34,color golden for actual steam punk look,Amazon.in,https://www.amazon.in/GRANOTONE-Non-Fading-Shimmering-Non-Toxic-Beginners/dp/B0BGZSSC91/
GRANOTONE Acrylic Venezia Metallic Colour - Copper (500ml),1,600,600,7.19,i tried this color is expensive thers no 300 ml botle multiple layers for steam punk look should take this much i was suggested this,Amazon.in,https://www.amazon.in/GRANOTONE-Non-Fading-Shimmering-Non-Toxic-Beginners/dp/B0CRL1Y63P/
ECLET Craft Painting Brushes Set (12 Pcs),1,198,198,2.37,detailing and painting,Amazon.in,https://www.amazon.in/ECLET-Professional-Pointed-Acrylic-Watercolor/dp/B0BGZSSC91/
Immech - M3 x 5mm Brass Insert Nut Knurled Nuts Threaded Female For Molding,1,179,179,2.14,,Amazon.in,https://www.amazon.in/Immech-Knurled-Threaded-Molding-Printing/dp/B0CX1BS7DJ/
"HP 64GB MicroSD Memory Card SDXC mx310 Class 10, UHS-I, U1 Card, Upto 100MB/s R, 10 Y Warranty",,500,500,5.83,theres a sale normally this ould cost 800 26 gb costs 300 32 450 ,Amazon.in,https://www.amazon.in/HP-MicroSD-U1-TF-Card-64GB/dp/B07DJGB43S/ref=sr_1_9?crid=1ABKS9PU32OGL&dib=eyJ2IjoiMSJ9.IsM3djobeZY5o6Iv-mb-j-Ucuxco_AxhJ5rkqCYXosWimIimjPnVaVjvV0JGLbmUYSiEZq_aEl7y9nqpsLifCusXShTRvIGZ47BtJc50j6xAb9ralKA8FxNk1DCbRM_rD2AoTys2dbENCGF2i8PjHMHuzh7vbzgiOU9yA7wKJtzT8Ilg3J1LWjp889iDJGePXYlsL8tufZYEJSiA7c6-uVXqllh8CXoLe0jkOpgqnNc.Ar3zHgTAEtJYaAfQL9f-p7tfY1i2BHhcxdnJKDK8DIc&dib_tag=se&keywords=sd%2Bcard%2B32%2Bgb&qid=1751294355&sprefix=sd%2Bcard%2B32%2Bgb%2Caps%2C301&sr=8-9&th=1
rgb comon andoe lifghts,1,29,29,0.5,,robocraze,https://robocraze.com/products/rgb-led-common-anode-pack-of-10?_pos=6&_psq=rgb&_ss=e&_v=1.0
cd 4053,29,29,0.5,https://robocraze.com/products/triple-2-channel-multiplexer-demultiplexer-ic-cd4053?variant=43443150258400
,total,5159.51,5478.51,68,,,
,,,,3 DOLLRS FOR SAFE price increase ,,,
